LR,ALPHA,STEP_SIZE,GAMMA,WD,cartoon_accuracy,sketch_accuracy,avg_accuracy
0.005,,10.0,0.1,0.005,0.24360068259385664,0.3016034614405701,0.27260207201721337
0.005,,10.0,0.1,0.0005,0.27559726962457337,0.3318910664291168,0.3037441680268451
0.005,,15.0,0.1,0.005,0.27517064846416384,0.2697887503181471,0.27247969939115546
0.005,,15.0,0.1,0.0005,0.29948805460750855,0.30771188597607535,0.303599970291792
0.005,0.5,10.0,0.1,0.005,0.16254266211604096,0.1916518198014762,0.17709724095875856
0.005,0.5,10.0,0.1,0.0005,0.16254266211604096,0.1916518198014762,0.17709724095875856
0.005,0.5,15.0,0.1,0.005,0.16254266211604096,0.1916518198014762,0.17709724095875856
0.005,0.5,15.0,0.1,0.0005,0.16296928327645052,0.19114278442351743,0.17705603384998397
0.005,0.1,10.0,0.1,0.005,0.16339590443686006,0.19063374904555866,0.17701482674120936
0.005,0.1,10.0,0.1,0.0005,0.4893344709897611,0.19216085517943496,0.34074766308459803
0.005,0.1,15.0,0.1,0.005,0.5610068259385665,0.19394247900229067,0.3774746524704286
0.005,0.1,15.0,0.1,0.0005,0.5243174061433447,0.19088826673453804,0.35760283643894136
0.005,0.05,10.0,0.1,0.005,0.40486348122866894,0.24535505217612624,0.3251092667023976
0.005,0.05,10.0,0.1,0.0005,0.3485494880546075,0.30593026215321967,0.3272398751039136
0.005,0.05,15.0,0.1,0.005,0.31399317406143346,0.26444387884958004,0.2892185264555067
0.005,0.05,15.0,0.1,0.0005,0.34215017064846415,0.2736065156528379,0.307878343150651
0.01,,10,0.1,0.0005,0.3020477816,0.3593789768,0.3307133792
0.01,,10,0.1,0.005,0.2832764505,0.3102570629,0.2967667567
0.01		15	0.1	0.0005	0.2448805461	0.3209468058	0.2829136759
0.01		15	0.1	0.005	0.3101535836	0.239755663	0.2749546233
0.01	0.5	10	0.1	0.0005	0.1616894198	0.1913973021	0.176543361
0.01	0.5	10	0.1	0.005	0.1625426621	0.1921608552	0.1773517586
0.01	0.5	15	0.1	0.0005	0.1642491468	0.190633749	0.1774414479
0.01	0.5	15	0.1	0.005	0.1633959044	0.1934334436	0.178414674
0.01	0.1	10	0.1	0.0005	0.1638225256	0.193942479	0.1788825023
0.01	0.1	10	0.1	0.005	0.1629692833	0.1934334436	0.1782013635
0.01	0.1	15	0.1	0.0005	0.1625426621	0.1916518198	0.177097241
0.01	0.1	15	0.1	0.005	0.1633959044	0.1913973021	0.1773966033
0.01	0.05	10	0.1	0.0005	0.1633959044	0.1921608552	0.1777783798
0.01	0.05	10	0.1	0.005	0.4624573379	0.190633749	0.3265455435
0.01	0.05	15	0.1	0.0005	0.5102389078	0.1921608552	0.3511998815
0.01	0.05	15	0.1	0.005	0.4611774744	0.1903792314	0.3257783529
0.001,,10.0,0.1,0.0005,0.23720136518771331,0.2822601170781369,0.2597307411329251
0.001,,10.0,0.1,0.005,0.2546928327645051,0.26393484347162127,0.2593138381180632
0.001,,15.0,0.1,0.0005,0.2440273037542662,0.31865614660218883,0.28134172517822753
0.001,,15.0,0.1,0.005,0.2674914675767918,0.290913718503436,0.2792025930401139
0.001,0.5,10.0,0.1,0.0005,0.16296928327645052,0.19292440824637314,0.17794684576141184
0.001,0.5,10.0,0.1,0.005,0.16168941979522183,0.19216085517943496,0.1769251374873284
0.001,0.5,15.0,0.1,0.0005,0.16424914675767918,0.19190633749045558,0.17807774212406738
0.001,0.5,15.0,0.1,0.005,0.16083617747440274,0.19266989055739375,0.17675303401589826
0.001,0.1,10.0,0.1,0.0005,0.24061433447098976,0.2911682361924154,0.2658912853317026
0.001,0.1,10.0,0.1,0.005,0.2696245733788396,0.32960040722830236,0.29961249030357096
0.001,0.1,15.0,0.1,0.0005,0.2598122866894198,0.31076609824382795,0.2852891924666239
0.001,0.1,15.0,0.1,0.005,0.2333617747440273,0.28353270552303383,0.2584472401335306
0.001,0.05,10.0,0.1,0.0005,0.27559726962457337,0.2249936370577755,0.2502954533411744
0.001,0.05,10.0,0.1,0.005,0.25810580204778155,0.24790022906592007,0.2530030155568508
0.001,0.05,15.0,0.1,0.0005,0.23848122866894197,0.25655383049121916,0.24751752958008055
0.001,0.05,15.0,0.1,0.005,0.25,0.2237210486128786,0.23686052430643928